type,sid,id,m,val,t,d,d_s,d_t,i_c,cmd,m_i,d_p
sensor,E1_motion,,motion_detected,1,2026-01-13 18:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA101,2026-01-13 18:00:03,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-13 18:00:06,E1,,,,,,
interaction,,,,,2026-01-13 18:00:12,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-13 18:00:16,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-13 18:00:19,E2,,,,,,
interaction,,,,,2026-01-13 18:00:23,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-13 18:00:26,W1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:00:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA102,2026-01-13 18:00:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:01:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA103,2026-01-13 18:01:28,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:01:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA104,2026-01-13 18:01:59,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:02:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA105,2026-01-13 18:02:28,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:02:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA106,2026-01-13 18:02:59,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:03:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA107,2026-01-13 18:03:28,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:03:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA108,2026-01-13 18:04:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:04:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA109,2026-01-13 18:04:27,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:04:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA110,2026-01-13 18:04:58,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:05:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA111,2026-01-13 18:05:29,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:05:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA112,2026-01-13 18:05:59,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:06:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA113,2026-01-13 18:06:27,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:06:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA114,2026-01-13 18:07:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:07:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA115,2026-01-13 18:07:29,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:07:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA116,2026-01-13 18:07:58,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:08:26,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:08:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA118,2026-01-13 18:08:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:09:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA119,2026-01-13 18:09:29,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:09:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA120,2026-01-13 18:09:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:10:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA121,2026-01-13 18:10:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:10:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA122,2026-01-13 18:11:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:11:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA123,2026-01-13 18:11:28,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:11:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA124,2026-01-13 18:12:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:12:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA125,2026-01-13 18:12:28,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:12:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA126,2026-01-13 18:12:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:13:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA127,2026-01-13 18:13:29,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:13:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA128,2026-01-13 18:13:59,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:14:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA129,2026-01-13 18:14:29,E1,,,,,,
