c_a,a_cmd,t,s_pre,s_post,d,id
1,turn_on,2026-01-13 18:00:06,dimmed,ON,E1,E1_light
52,dim,2026-01-13 18:54:40,ON,dimmed,E1,E1_light
53,turn_on,2026-01-13 22:00:07,dimmed,ON,E1,E1_light
54,dim,2026-01-13 22:05:23,ON,dimmed,E1,E1_light
55,turn_on,2026-01-14 00:00:06,dimmed,ON,E1,E1_light
56,dim,2026-01-14 00:05:12,ON,dimmed,E1,E1_light
57,turn_on,2026-01-14 02:00:07,dimmed,ON,E1,E1_light
58,dim,2026-01-14 02:05:21,ON,dimmed,E1,E1_light
59,turn_on,2026-01-14 04:00:03,dimmed,ON,E1,E1_light
61,turn_on,2026-01-14 06:00:04,dimmed,ON,E1,E1_light
62,dim,2026-01-14 06:05:18,ON,dimmed,E1,E1_light
63,turn_on,2026-01-14 08:00:05,dimmed,ON,E1,E1_light
65,dim,2026-01-14 08:05:16,ON,dimmed,E1,E1_light
66,turn_on,2026-01-14 10:00:06,dimmed,ON,E1,E1_light
68,turn_on,2026-01-14 12:00:04,dimmed,ON,E1,E1_light
69,dim,2026-01-14 12:05:17,ON,dimmed,E1,E1_light
70,turn_on,2026-01-14 14:00:06,dimmed,ON,E1,E1_light
71,dim,2026-01-14 14:05:17,ON,dimmed,E1,E1_light
72,turn_on,2026-01-14 16:00:05,dimmed,ON,E1,E1_light
74,turn_on,2026-01-14 18:00:04,dimmed,ON,E1,E1_light
75,dim,2026-01-14 18:05:23,ON,dimmed,E1,E1_light
76,turn_on,2026-01-14 20:00:02,dimmed,ON,E1,E1_light
77,dim,2026-01-14 20:05:15,ON,dimmed,E1,E1_light
78,turn_on,2026-01-14 22:00:07,dimmed,ON,E1,E1_light
80,dim,2026-01-14 22:05:11,ON,dimmed,E1,E1_light
81,turn_on,2026-01-15 00:00:04,dimmed,ON,E1,E1_light
82,dim,2026-01-15 00:05:13,ON,dimmed,E1,E1_light
83,turn_on,2026-01-15 02:00:05,dimmed,ON,E1,E1_light
84,dim,2026-01-15 02:05:23,ON,dimmed,E1,E1_light
85,turn_on,2026-01-15 04:00:07,dimmed,ON,E1,E1_light
86,dim,2026-01-15 04:05:11,ON,dimmed,E1,E1_light
87,turn_on,2026-01-15 06:00:08,dimmed,ON,E1,E1_light
88,dim,2026-01-15 06:05:24,ON,dimmed,E1,E1_light
89,turn_on,2026-01-15 08:00:04,dimmed,ON,E1,E1_light
90,dim,2026-01-15 08:05:14,ON,dimmed,E1,E1_light
93,dim,2026-01-15 10:05:21,ON,dimmed,E1,E1_light
