c_i,a_i,t,m_i,d_s,d_t,d_p
2,E1_turn_on_alert_E2,2026-01-13 18:00:12,motion detected,E1,E2,E1
52,E2_dim_alert_E1,2026-01-13 18:54:38,motion detected,E2,E1,E1
53,E1_turn_on_alert_E2,2026-01-13 22:00:10,motion detected,E1,E2,E1
53,E1_turn_on_alert_W1,2026-01-13 22:00:12,motion detected,E1,W1,E1
54,E2_dim_alert_E1,2026-01-13 22:05:20,motion detected,E2,E1,E1
55,E1_turn_on_alert_E2,2026-01-14 00:00:09,motion detected,E1,E2,E1
55,E1_turn_on_alert_W1,2026-01-14 00:00:13,motion detected,E1,W1,E1
56,E2_dim_alert_E1,2026-01-14 00:05:11,motion detected,E2,E1,E1
57,E1_turn_on_alert_E2,2026-01-14 02:00:08,motion detected,E1,E2,E1
57,E1_turn_on_alert_W1,2026-01-14 02:00:10,motion detected,E1,W1,E1
59,E1_turn_on_alert_E2,2026-01-14 04:00:05,motion detected,E1,E2,E1
60,E2_dim_alert_E1,2026-01-14 04:05:10,motion detected,E2,E1,E1
62,E2_dim_alert_E1,2026-01-14 06:05:15,motion detected,E2,E1,E1
64,E1_turn_on_alert_W1,2026-01-14 08:00:10,motion detected,E1,W1,E1
65,E2_dim_alert_E1,2026-01-14 08:05:12,motion detected,E2,E1,E1
66,E1_turn_on_alert_E2,2026-01-14 10:00:08,motion detected,E1,E2,E1
66,E1_turn_on_alert_W1,2026-01-14 10:00:10,motion detected,E1,W1,E1
67,E2_dim_alert_E1,2026-01-14 10:05:17,motion detected,E2,E1,E1
68,E1_turn_on_alert_E2,2026-01-14 12:00:05,motion detected,E1,E2,E1
68,E1_turn_on_alert_W1,2026-01-14 12:00:09,motion detected,E1,W1,E1
69,E2_dim_alert_E1,2026-01-14 12:05:14,motion detected,E2,E1,E1
70,E1_turn_on_alert_W1,2026-01-14 14:00:08,motion detected,E1,W1,E1
71,E2_dim_alert_E1,2026-01-14 14:05:16,motion detected,E2,E1,E1
72,E1_turn_on_alert_E2,2026-01-14 16:00:08,motion detected,E1,E2,E1
72,E1_turn_on_alert_W1,2026-01-14 16:00:09,motion detected,E1,W1,E1
73,E2_dim_alert_E1,2026-01-14 16:05:16,motion detected,E2,E1,E1
74,E1_turn_on_alert_E2,2026-01-14 18:00:07,motion detected,E1,E2,E1
74,E1_turn_on_alert_W1,2026-01-14 18:00:09,motion detected,E1,W1,E1
75,E2_dim_alert_E1,2026-01-14 18:05:22,motion detected,E2,E1,E1
76,E1_turn_on_alert_E2,2026-01-14 20:00:04,motion detected,E1,E2,E1
77,E2_dim_alert_E1,2026-01-14 20:05:12,motion detected,E2,E1,E1
79,E1_turn_on_alert_W1,2026-01-14 22:00:12,motion detected,E1,W1,E1
80,E2_dim_alert_E1,2026-01-14 22:05:10,motion detected,E2,E1,E1
81,E1_turn_on_alert_E2,2026-01-15 00:00:05,motion detected,E1,E2,E1
81,E1_turn_on_alert_W1,2026-01-15 00:00:08,motion detected,E1,W1,E1
82,E2_dim_alert_E1,2026-01-15 00:05:12,motion detected,E2,E1,E1
83,E1_turn_on_alert_E2,2026-01-15 02:00:06,motion detected,E1,E2,E1
83,E1_turn_on_alert_W1,2026-01-15 02:00:07,motion detected,E1,W1,E1
84,E2_dim_alert_E1,2026-01-15 02:05:21,motion detected,E2,E1,E1
85,E1_turn_on_alert_E2,2026-01-15 04:00:10,motion detected,E1,E2,E1
86,E2_dim_alert_E1,2026-01-15 04:05:10,motion detected,E2,E1,E1
87,E1_turn_on_alert_E2,2026-01-15 06:00:10,motion detected,E1,E2,E1
87,E1_turn_on_alert_W1,2026-01-15 06:00:11,motion detected,E1,W1,E1
88,E2_dim_alert_E1,2026-01-15 06:05:20,motion detected,E2,E1,E1
89,E1_turn_on_alert_E2,2026-01-15 08:00:06,motion detected,E1,E2,E1
90,E2_dim_alert_E1,2026-01-15 08:05:11,motion detected,E2,E1,E1
92,E1_turn_on_alert_E2,2026-01-15 10:00:09,motion detected,E1,E2,E1
92,E1_turn_on_alert_W1,2026-01-15 10:00:13,motion detected,E1,W1,E1
93,E2_dim_alert_E1,2026-01-15 10:05:19,motion detected,E2,E1,E1
94,E1_turn_on_alert_E2,2026-01-15 12:00:09,motion detected,E1,E2,E1
