c_s,a_s,t,val,d,sid
1,motion_detected,2026-01-13 18:00:00,1,E1,E1_motion
1,plate_captured,2026-01-13 18:00:03,AAA101,E1,E1_camera
3,motion_detected,2026-01-13 18:00:56,1,E1,E1_motion
3,plate_captured,2026-01-13 18:00:57,AAA102,E1,E1_camera
4,motion_detected,2026-01-13 18:01:26,1,E1,E1_motion
4,plate_captured,2026-01-13 18:01:28,AAA103,E1,E1_camera
5,motion_detected,2026-01-13 18:01:56,1,E1,E1_motion
5,plate_captured,2026-01-13 18:01:59,AAA104,E1,E1_camera
6,motion_detected,2026-01-13 18:02:26,1,E1,E1_motion
6,plate_captured,2026-01-13 18:02:28,AAA105,E1,E1_camera
7,motion_detected,2026-01-13 18:02:56,1,E1,E1_motion
7,plate_captured,2026-01-13 18:02:59,AAA106,E1,E1_camera
8,motion_detected,2026-01-13 18:03:26,1,E1,E1_motion
8,plate_captured,2026-01-13 18:03:28,AAA107,E1,E1_camera
9,motion_detected,2026-01-13 18:03:56,1,E1,E1_motion
9,plate_captured,2026-01-13 18:04:00,AAA108,E1,E1_camera
10,motion_detected,2026-01-13 18:04:26,1,E1,E1_motion
10,plate_captured,2026-01-13 18:04:27,AAA109,E1,E1_camera
11,motion_detected,2026-01-13 18:04:56,1,E1,E1_motion
11,plate_captured,2026-01-13 18:04:58,AAA110,E1,E1_camera
12,motion_detected,2026-01-13 18:05:26,1,E1,E1_motion
12,plate_captured,2026-01-13 18:05:29,AAA111,E1,E1_camera
13,motion_detected,2026-01-13 18:05:56,1,E1,E1_motion
13,plate_captured,2026-01-13 18:05:59,AAA112,E1,E1_camera
14,motion_detected,2026-01-13 18:06:26,1,E1,E1_motion
14,plate_captured,2026-01-13 18:06:27,AAA113,E1,E1_camera
15,motion_detected,2026-01-13 18:06:56,1,E1,E1_motion
15,plate_captured,2026-01-13 18:07:00,AAA114,E1,E1_camera
16,motion_detected,2026-01-13 18:07:26,1,E1,E1_motion
16,plate_captured,2026-01-13 18:07:29,AAA115,E1,E1_camera
17,motion_detected,2026-01-13 18:07:56,1,E1,E1_motion
17,plate_captured,2026-01-13 18:07:58,AAA116,E1,E1_camera
18,motion_detected,2026-01-13 18:08:26,1,E1,E1_motion
19,motion_detected,2026-01-13 18:08:56,1,E1,E1_motion
19,plate_captured,2026-01-13 18:08:57,AAA118,E1,E1_camera
20,motion_detected,2026-01-13 18:09:26,1,E1,E1_motion
20,plate_captured,2026-01-13 18:09:29,AAA119,E1,E1_camera
21,motion_detected,2026-01-13 18:09:56,1,E1,E1_motion
21,plate_captured,2026-01-13 18:09:57,AAA120,E1,E1_camera
22,motion_detected,2026-01-13 18:10:26,1,E1,E1_motion
22,plate_captured,2026-01-13 18:10:30,AAA121,E1,E1_camera
23,motion_detected,2026-01-13 18:10:56,1,E1,E1_motion
23,plate_captured,2026-01-13 18:11:00,AAA122,E1,E1_camera
24,motion_detected,2026-01-13 18:11:26,1,E1,E1_motion
24,plate_captured,2026-01-13 18:11:28,AAA123,E1,E1_camera
25,motion_detected,2026-01-13 18:11:56,1,E1,E1_motion
25,plate_captured,2026-01-13 18:12:00,AAA124,E1,E1_camera
26,motion_detected,2026-01-13 18:12:26,1,E1,E1_motion
26,plate_captured,2026-01-13 18:12:28,AAA125,E1,E1_camera
27,motion_detected,2026-01-13 18:12:56,1,E1,E1_motion
27,plate_captured,2026-01-13 18:12:57,AAA126,E1,E1_camera
28,motion_detected,2026-01-13 18:13:26,1,E1,E1_motion
28,plate_captured,2026-01-13 18:13:29,AAA127,E1,E1_camera
29,motion_detected,2026-01-13 18:13:56,1,E1,E1_motion
29,plate_captured,2026-01-13 18:13:59,AAA128,E1,E1_camera
30,motion_detected,2026-01-13 18:14:26,1,E1,E1_motion
30,plate_captured,2026-01-13 18:14:29,AAA129,E1,E1_camera
31,plate_captured,2026-01-13 18:15:00,AAA130,E1,E1_camera
32,motion_detected,2026-01-13 18:15:26,1,E1,E1_motion
32,plate_captured,2026-01-13 18:15:29,AAA131,E1,E1_camera
33,motion_detected,2026-01-13 18:15:56,1,E1,E1_motion
33,plate_captured,2026-01-13 18:15:57,AAA132,E1,E1_camera
34,motion_detected,2026-01-13 18:16:26,1,E1,E1_motion
34,plate_captured,2026-01-13 18:16:30,AAA133,E1,E1_camera
35,motion_detected,2026-01-13 18:16:56,1,E1,E1_motion
35,plate_captured,2026-01-13 18:16:58,AAA134,E1,E1_camera
36,motion_detected,2026-01-13 18:17:26,1,E1,E1_motion
36,plate_captured,2026-01-13 18:17:27,AAA135,E1,E1_camera
37,motion_detected,2026-01-13 18:17:56,1,E1,E1_motion
37,plate_captured,2026-01-13 18:17:57,AAA136,E1,E1_camera
38,motion_detected,2026-01-13 18:18:26,1,E1,E1_motion
38,plate_captured,2026-01-13 18:18:30,AAA137,E1,E1_camera
39,motion_detected,2026-01-13 18:18:56,1,E1,E1_motion
39,plate_captured,2026-01-13 18:18:57,AAA138,E1,E1_camera
40,motion_detected,2026-01-13 18:19:26,1,E1,E1_motion
40,plate_captured,2026-01-13 18:19:27,AAA139,E1,E1_camera
41,motion_detected,2026-01-13 18:19:56,1,E1,E1_motion
41,plate_captured,2026-01-13 18:19:58,AAA140,E1,E1_camera
42,motion_detected,2026-01-13 18:20:26,1,E1,E1_motion
42,plate_captured,2026-01-13 18:20:27,AAA141,E1,E1_camera
43,motion_detected,2026-01-13 18:20:56,1,E1,E1_motion
43,plate_captured,2026-01-13 18:20:57,AAA142,E1,E1_camera
44,motion_detected,2026-01-13 18:21:26,1,E1,E1_motion
44,plate_captured,2026-01-13 18:21:30,AAA143,E1,E1_camera
45,motion_detected,2026-01-13 18:21:56,1,E1,E1_motion
45,plate_captured,2026-01-13 18:22:00,AAA144,E1,E1_camera
46,motion_detected,2026-01-13 18:22:26,1,E1,E1_motion
46,plate_captured,2026-01-13 18:22:30,AAA145,E1,E1_camera
47,motion_detected,2026-01-13 18:22:56,1,E1,E1_motion
47,plate_captured,2026-01-13 18:22:59,AAA146,E1,E1_camera
48,motion_detected,2026-01-13 18:23:26,1,E1,E1_motion
48,plate_captured,2026-01-13 18:23:30,AAA147,E1,E1_camera
49,motion_detected,2026-01-13 18:23:56,1,E1,E1_motion
50,motion_detected,2026-01-13 18:24:26,1,E1,E1_motion
50,plate_captured,2026-01-13 18:24:30,AAA149,E1,E1_camera
