device,type,c,a,t,_t_sort,a_cmd,a_i,a_s,c_a,c_i,c_s,d,d_p,d_s,d_t,id,m_i,s_post,s_pre,sid,val
E1,sensor,1,motion_detected,2026-01-13 18:00:00,,,,motion_detected,,,1,E1,,,,,,,,E1_motion,1
E1,sensor,1,plate_captured,2026-01-13 18:00:03,,,,plate_captured,,,1,E1,,,,,,,,E1_camera,AAA101
E1,actuator,1,turn_on,2026-01-13 18:00:06,,turn_on,,,1,,,E1,,,,E1_light,,ON,dimmed,,
E1,interaction,2,E1_turn_on_alert_E2,2026-01-13 18:00:12,,,E1_turn_on_alert_E2,,,2,,,E1,E1,E2,,motion detected,,,,
E1,sensor,3,motion_detected,2026-01-13 18:00:56,,,,motion_detected,,,3,E1,,,,,,,,E1_motion,1
E1,sensor,3,plate_captured,2026-01-13 18:00:57,,,,plate_captured,,,3,E1,,,,,,,,E1_camera,AAA102
E1,sensor,4,motion_detected,2026-01-13 18:01:26,,,,motion_detected,,,4,E1,,,,,,,,E1_motion,1
E1,sensor,4,plate_captured,2026-01-13 18:01:28,,,,plate_captured,,,4,E1,,,,,,,,E1_camera,AAA103
E1,sensor,5,motion_detected,2026-01-13 18:01:56,,,,motion_detected,,,5,E1,,,,,,,,E1_motion,1
E1,sensor,5,plate_captured,2026-01-13 18:01:59,,,,plate_captured,,,5,E1,,,,,,,,E1_camera,AAA104
E1,sensor,6,motion_detected,2026-01-13 18:02:26,,,,motion_detected,,,6,E1,,,,,,,,E1_motion,1
E1,sensor,6,plate_captured,2026-01-13 18:02:28,,,,plate_captured,,,6,E1,,,,,,,,E1_camera,AAA105
E1,sensor,7,motion_detected,2026-01-13 18:02:56,,,,motion_detected,,,7,E1,,,,,,,,E1_motion,1
E1,sensor,7,plate_captured,2026-01-13 18:02:59,,,,plate_captured,,,7,E1,,,,,,,,E1_camera,AAA106
E1,sensor,8,motion_detected,2026-01-13 18:03:26,,,,motion_detected,,,8,E1,,,,,,,,E1_motion,1
E1,sensor,8,plate_captured,2026-01-13 18:03:28,,,,plate_captured,,,8,E1,,,,,,,,E1_camera,AAA107
E1,sensor,9,motion_detected,2026-01-13 18:03:56,,,,motion_detected,,,9,E1,,,,,,,,E1_motion,1
E1,sensor,9,plate_captured,2026-01-13 18:04:00,,,,plate_captured,,,9,E1,,,,,,,,E1_camera,AAA108
E1,sensor,10,motion_detected,2026-01-13 18:04:26,,,,motion_detected,,,10,E1,,,,,,,,E1_motion,1
E1,sensor,10,plate_captured,2026-01-13 18:04:27,,,,plate_captured,,,10,E1,,,,,,,,E1_camera,AAA109
E1,sensor,11,motion_detected,2026-01-13 18:04:56,,,,motion_detected,,,11,E1,,,,,,,,E1_motion,1
E1,sensor,11,plate_captured,2026-01-13 18:04:58,,,,plate_captured,,,11,E1,,,,,,,,E1_camera,AAA110
E1,sensor,12,motion_detected,2026-01-13 18:05:26,,,,motion_detected,,,12,E1,,,,,,,,E1_motion,1
E1,sensor,12,plate_captured,2026-01-13 18:05:29,,,,plate_captured,,,12,E1,,,,,,,,E1_camera,AAA111
E1,sensor,13,motion_detected,2026-01-13 18:05:56,,,,motion_detected,,,13,E1,,,,,,,,E1_motion,1
E1,sensor,13,plate_captured,2026-01-13 18:05:59,,,,plate_captured,,,13,E1,,,,,,,,E1_camera,AAA112
E1,sensor,14,motion_detected,2026-01-13 18:06:26,,,,motion_detected,,,14,E1,,,,,,,,E1_motion,1
E1,sensor,14,plate_captured,2026-01-13 18:06:27,,,,plate_captured,,,14,E1,,,,,,,,E1_camera,AAA113
E1,sensor,15,motion_detected,2026-01-13 18:06:56,,,,motion_detected,,,15,E1,,,,,,,,E1_motion,1
E1,sensor,15,plate_captured,2026-01-13 18:07:00,,,,plate_captured,,,15,E1,,,,,,,,E1_camera,AAA114
E1,sensor,16,motion_detected,2026-01-13 18:07:26,,,,motion_detected,,,16,E1,,,,,,,,E1_motion,1
E1,sensor,16,plate_captured,2026-01-13 18:07:29,,,,plate_captured,,,16,E1,,,,,,,,E1_camera,AAA115
E1,sensor,17,motion_detected,2026-01-13 18:07:56,,,,motion_detected,,,17,E1,,,,,,,,E1_motion,1
E1,sensor,17,plate_captured,2026-01-13 18:07:58,,,,plate_captured,,,17,E1,,,,,,,,E1_camera,AAA116
E1,sensor,18,motion_detected,2026-01-13 18:08:26,,,,motion_detected,,,18,E1,,,,,,,,E1_motion,1
E1,sensor,19,motion_detected,2026-01-13 18:08:56,,,,motion_detected,,,19,E1,,,,,,,,E1_motion,1
E1,sensor,19,plate_captured,2026-01-13 18:08:57,,,,plate_captured,,,19,E1,,,,,,,,E1_camera,AAA118
E1,sensor,20,motion_detected,2026-01-13 18:09:26,,,,motion_detected,,,20,E1,,,,,,,,E1_motion,1
E1,sensor,20,plate_captured,2026-01-13 18:09:29,,,,plate_captured,,,20,E1,,,,,,,,E1_camera,AAA119
E1,sensor,21,motion_detected,2026-01-13 18:09:56,,,,motion_detected,,,21,E1,,,,,,,,E1_motion,1
E1,sensor,21,plate_captured,2026-01-13 18:09:57,,,,plate_captured,,,21,E1,,,,,,,,E1_camera,AAA120
E1,sensor,22,motion_detected,2026-01-13 18:10:26,,,,motion_detected,,,22,E1,,,,,,,,E1_motion,1
E1,sensor,22,plate_captured,2026-01-13 18:10:30,,,,plate_captured,,,22,E1,,,,,,,,E1_camera,AAA121
E1,sensor,23,motion_detected,2026-01-13 18:10:56,,,,motion_detected,,,23,E1,,,,,,,,E1_motion,1
E1,sensor,23,plate_captured,2026-01-13 18:11:00,,,,plate_captured,,,23,E1,,,,,,,,E1_camera,AAA122
E1,sensor,24,motion_detected,2026-01-13 18:11:26,,,,motion_detected,,,24,E1,,,,,,,,E1_motion,1
E1,sensor,24,plate_captured,2026-01-13 18:11:28,,,,plate_captured,,,24,E1,,,,,,,,E1_camera,AAA123
E1,sensor,25,motion_detected,2026-01-13 18:11:56,,,,motion_detected,,,25,E1,,,,,,,,E1_motion,1
E1,sensor,25,plate_captured,2026-01-13 18:12:00,,,,plate_captured,,,25,E1,,,,,,,,E1_camera,AAA124
E1,sensor,26,motion_detected,2026-01-13 18:12:26,,,,motion_detected,,,26,E1,,,,,,,,E1_motion,1
E1,sensor,26,plate_captured,2026-01-13 18:12:28,,,,plate_captured,,,26,E1,,,,,,,,E1_camera,AAA125
E1,sensor,27,motion_detected,2026-01-13 18:12:56,,,,motion_detected,,,27,E1,,,,,,,,E1_motion,1
E1,sensor,27,plate_captured,2026-01-13 18:12:57,,,,plate_captured,,,27,E1,,,,,,,,E1_camera,AAA126
E1,sensor,28,motion_detected,2026-01-13 18:13:26,,,,motion_detected,,,28,E1,,,,,,,,E1_motion,1
