c_a,a_cmd,t,s_pre,s_post,d,id
317,turn_on,2026-01-13 18:00:26,dimmed,ON,W1,W1_light
318,dim,2026-01-13 18:54:43,ON,dimmed,W1,W1_light
319,turn_on,2026-01-13 22:00:20,dimmed,ON,W1,W1_light
320,dim,2026-01-13 22:05:16,ON,dimmed,W1,W1_light
321,turn_on,2026-01-14 00:00:23,dimmed,ON,W1,W1_light
322,dim,2026-01-14 00:05:17,ON,dimmed,W1,W1_light
323,turn_on,2026-01-14 02:00:16,dimmed,ON,W1,W1_light
324,dim,2026-01-14 02:05:16,ON,dimmed,W1,W1_light
325,turn_on,2026-01-14 04:00:21,dimmed,ON,W1,W1_light
326,dim,2026-01-14 04:05:16,ON,dimmed,W1,W1_light
327,turn_on,2026-01-14 06:00:13,dimmed,ON,W1,W1_light
328,dim,2026-01-14 06:05:13,ON,dimmed,W1,W1_light
329,turn_on,2026-01-14 08:00:21,dimmed,ON,W1,W1_light
330,dim,2026-01-14 08:05:20,ON,dimmed,W1,W1_light
331,turn_on,2026-01-14 10:00:17,dimmed,ON,W1,W1_light
332,dim,2026-01-14 10:05:16,ON,dimmed,W1,W1_light
333,turn_on,2026-01-14 12:00:18,dimmed,ON,W1,W1_light
334,dim,2026-01-14 12:05:23,ON,dimmed,W1,W1_light
336,dim,2026-01-14 14:05:12,ON,dimmed,W1,W1_light
337,turn_on,2026-01-14 16:00:20,dimmed,ON,W1,W1_light
338,dim,2026-01-14 16:05:25,ON,dimmed,W1,W1_light
339,turn_on,2026-01-14 18:00:12,dimmed,ON,W1,W1_light
340,dim,2026-01-14 18:05:18,ON,dimmed,W1,W1_light
341,turn_on,2026-01-14 20:00:13,dimmed,ON,W1,W1_light
342,dim,2026-01-14 20:05:21,ON,dimmed,W1,W1_light
343,turn_on,2026-01-14 22:00:19,dimmed,ON,W1,W1_light
344,dim,2026-01-14 22:05:09,ON,dimmed,W1,W1_light
345,turn_on,2026-01-15 00:00:15,dimmed,ON,W1,W1_light
346,dim,2026-01-15 00:05:19,ON,dimmed,W1,W1_light
347,turn_on,2026-01-15 02:00:12,dimmed,ON,W1,W1_light
348,dim,2026-01-15 02:05:19,ON,dimmed,W1,W1_light
349,turn_on,2026-01-15 04:00:19,dimmed,ON,W1,W1_light
350,dim,2026-01-15 04:05:15,ON,dimmed,W1,W1_light
351,turn_on,2026-01-15 06:00:14,dimmed,ON,W1,W1_light
352,dim,2026-01-15 06:05:16,ON,dimmed,W1,W1_light
353,turn_on,2026-01-15 08:00:15,dimmed,ON,W1,W1_light
354,dim,2026-01-15 08:05:18,ON,dimmed,W1,W1_light
355,turn_on,2026-01-15 10:00:17,dimmed,ON,W1,W1_light
356,dim,2026-01-15 10:05:17,ON,dimmed,W1,W1_light
357,turn_on,2026-01-15 12:00:20,dimmed,ON,W1,W1_light
358,dim,2026-01-15 12:05:24,ON,dimmed,W1,W1_light
359,turn_on,2026-01-15 14:00:18,dimmed,ON,W1,W1_light
360,dim,2026-01-15 14:05:15,ON,dimmed,W1,W1_light
361,turn_on,2026-01-15 16:00:18,dimmed,ON,W1,W1_light
362,dim,2026-01-15 16:05:19,ON,dimmed,W1,W1_light
363,turn_on,2026-01-15 18:00:15,dimmed,ON,W1,W1_light
364,dim,2026-01-15 18:05:11,ON,dimmed,W1,W1_light
365,turn_on,2026-01-15 20:00:18,dimmed,ON,W1,W1_light
366,dim,2026-01-15 20:05:21,ON,dimmed,W1,W1_light
367,turn_on,2026-01-15 22:00:20,dimmed,ON,W1,W1_light
368,dim,2026-01-15 22:05:16,ON,dimmed,W1,W1_light
369,turn_on,2026-01-16 00:00:20,dimmed,ON,W1,W1_light
371,turn_on,2026-01-16 02:00:13,dimmed,ON,W1,W1_light
372,dim,2026-01-16 02:05:17,ON,dimmed,W1,W1_light
373,turn_on,2026-01-16 04:00:17,dimmed,ON,W1,W1_light
374,dim,2026-01-16 04:05:18,ON,dimmed,W1,W1_light
375,turn_on,2026-01-16 06:00:12,dimmed,ON,W1,W1_light
377,turn_on,2026-01-16 08:00:25,dimmed,ON,W1,W1_light
378,dim,2026-01-16 08:05:22,ON,dimmed,W1,W1_light
379,turn_on,2026-01-16 10:00:16,dimmed,ON,W1,W1_light
380,dim,2026-01-16 10:05:16,ON,dimmed,W1,W1_light
381,turn_on,2026-01-16 12:00:16,dimmed,ON,W1,W1_light
383,turn_on,2026-01-16 14:00:12,dimmed,ON,W1,W1_light
384,dim,2026-01-16 14:05:14,ON,dimmed,W1,W1_light
385,dim,2026-01-16 16:05:18,ON,dimmed,W1,W1_light
386,turn_on,2026-01-16 18:00:14,dimmed,ON,W1,W1_light
387,dim,2026-01-16 18:05:12,ON,dimmed,W1,W1_light
388,turn_on,2026-01-16 20:00:17,dimmed,ON,W1,W1_light
389,dim,2026-01-16 20:05:21,ON,dimmed,W1,W1_light
390,turn_on,2026-01-16 22:00:13,dimmed,ON,W1,W1_light
391,dim,2026-01-16 22:05:21,ON,dimmed,W1,W1_light
393,dim,2026-01-17 00:05:20,ON,dimmed,W1,W1_light
394,turn_on,2026-01-17 02:00:12,dimmed,ON,W1,W1_light
395,dim,2026-01-17 02:05:15,ON,dimmed,W1,W1_light
