c_i,a_i,t,m_i,d_s,d_t,d_p
317,E1_turn_on_alert_W1,2026-01-13 18:00:23,motion detected,E1,W1,W1
318,E2_dim_alert_W1,2026-01-13 18:54:42,motion detected,E2,W1,W1
319,E1_turn_on_alert_W1,2026-01-13 22:00:16,motion detected,E1,W1,W1
320,E2_dim_alert_W1,2026-01-13 22:05:13,motion detected,E2,W1,W1
321,E1_turn_on_alert_W1,2026-01-14 00:00:20,motion detected,E1,W1,W1
322,E2_dim_alert_W1,2026-01-14 00:05:16,motion detected,E2,W1,W1
324,E2_dim_alert_W1,2026-01-14 02:05:14,motion detected,E2,W1,W1
325,E1_turn_on_alert_W1,2026-01-14 04:00:17,motion detected,E1,W1,W1
326,E2_dim_alert_W1,2026-01-14 04:05:15,motion detected,E2,W1,W1
327,E1_turn_on_alert_W1,2026-01-14 06:00:12,motion detected,E1,W1,W1
328,E2_dim_alert_W1,2026-01-14 06:05:11,motion detected,E2,W1,W1
330,E2_dim_alert_W1,2026-01-14 08:05:17,motion detected,E2,W1,W1
331,E1_turn_on_alert_W1,2026-01-14 10:00:14,motion detected,E1,W1,W1
332,E2_dim_alert_W1,2026-01-14 10:05:14,motion detected,E2,W1,W1
333,E1_turn_on_alert_W1,2026-01-14 12:00:16,motion detected,E1,W1,W1
334,E2_dim_alert_W1,2026-01-14 12:05:19,motion detected,E2,W1,W1
335,E1_turn_on_alert_W1,2026-01-14 14:00:12,motion detected,E1,W1,W1
336,E2_dim_alert_W1,2026-01-14 14:05:08,motion detected,E2,W1,W1
337,E1_turn_on_alert_W1,2026-01-14 16:00:19,motion detected,E1,W1,W1
338,E2_dim_alert_W1,2026-01-14 16:05:22,motion detected,E2,W1,W1
339,E1_turn_on_alert_W1,2026-01-14 18:00:10,motion detected,E1,W1,W1
340,E2_dim_alert_W1,2026-01-14 18:05:17,motion detected,E2,W1,W1
341,E1_turn_on_alert_W1,2026-01-14 20:00:12,motion detected,E1,W1,W1
342,E2_dim_alert_W1,2026-01-14 20:05:18,motion detected,E2,W1,W1
344,E2_dim_alert_W1,2026-01-14 22:05:07,motion detected,E2,W1,W1
345,E1_turn_on_alert_W1,2026-01-15 00:00:14,motion detected,E1,W1,W1
346,E2_dim_alert_W1,2026-01-15 00:05:16,motion detected,E2,W1,W1
347,E1_turn_on_alert_W1,2026-01-15 02:00:11,motion detected,E1,W1,W1
348,E2_dim_alert_W1,2026-01-15 02:05:17,motion detected,E2,W1,W1
349,E1_turn_on_alert_W1,2026-01-15 04:00:18,motion detected,E1,W1,W1
350,E2_dim_alert_W1,2026-01-15 04:05:12,motion detected,E2,W1,W1
351,E1_turn_on_alert_W1,2026-01-15 06:00:12,motion detected,E1,W1,W1
352,E2_dim_alert_W1,2026-01-15 06:05:15,motion detected,E2,W1,W1
353,E1_turn_on_alert_W1,2026-01-15 08:00:14,motion detected,E1,W1,W1
354,E2_dim_alert_W1,2026-01-15 08:05:15,motion detected,E2,W1,W1
355,E1_turn_on_alert_W1,2026-01-15 10:00:16,motion detected,E1,W1,W1
356,E2_dim_alert_W1,2026-01-15 10:05:13,motion detected,E2,W1,W1
357,E1_turn_on_alert_W1,2026-01-15 12:00:16,motion detected,E1,W1,W1
358,E2_dim_alert_W1,2026-01-15 12:05:23,motion detected,E2,W1,W1
359,E1_turn_on_alert_W1,2026-01-15 14:00:17,motion detected,E1,W1,W1
360,E2_dim_alert_W1,2026-01-15 14:05:14,motion detected,E2,W1,W1
362,E2_dim_alert_W1,2026-01-15 16:05:15,motion detected,E2,W1,W1
363,E1_turn_on_alert_W1,2026-01-15 18:00:13,motion detected,E1,W1,W1
364,E2_dim_alert_W1,2026-01-15 18:05:08,motion detected,E2,W1,W1
365,E1_turn_on_alert_W1,2026-01-15 20:00:15,motion detected,E1,W1,W1
366,E2_dim_alert_W1,2026-01-15 20:05:18,motion detected,E2,W1,W1
367,E1_turn_on_alert_W1,2026-01-15 22:00:17,motion detected,E1,W1,W1
368,E2_dim_alert_W1,2026-01-15 22:05:13,motion detected,E2,W1,W1
369,E1_turn_on_alert_W1,2026-01-16 00:00:19,motion detected,E1,W1,W1
370,E2_dim_alert_W1,2026-01-16 00:05:13,motion detected,E2,W1,W1
371,E1_turn_on_alert_W1,2026-01-16 02:00:12,motion detected,E1,W1,W1
372,E2_dim_alert_W1,2026-01-16 02:05:16,motion detected,E2,W1,W1
373,E1_turn_on_alert_W1,2026-01-16 04:00:16,motion detected,E1,W1,W1
374,E2_dim_alert_W1,2026-01-16 04:05:17,motion detected,E2,W1,W1
375,E1_turn_on_alert_W1,2026-01-16 06:00:11,motion detected,E1,W1,W1
376,E2_dim_alert_W1,2026-01-16 06:05:10,motion detected,E2,W1,W1
377,E1_turn_on_alert_W1,2026-01-16 08:00:22,motion detected,E1,W1,W1
378,E2_dim_alert_W1,2026-01-16 08:05:19,motion detected,E2,W1,W1
379,E1_turn_on_alert_W1,2026-01-16 10:00:15,motion detected,E1,W1,W1
380,E2_dim_alert_W1,2026-01-16 10:05:14,motion detected,E2,W1,W1
381,E1_turn_on_alert_W1,2026-01-16 12:00:13,motion detected,E1,W1,W1
382,E2_dim_alert_W1,2026-01-16 12:05:13,motion detected,E2,W1,W1
383,E1_turn_on_alert_W1,2026-01-16 14:00:10,motion detected,E1,W1,W1
385,E2_dim_alert_W1,2026-01-16 16:05:16,motion detected,E2,W1,W1
386,E1_turn_on_alert_W1,2026-01-16 18:00:10,motion detected,E1,W1,W1
387,E2_dim_alert_W1,2026-01-16 18:05:08,motion detected,E2,W1,W1
388,E1_turn_on_alert_W1,2026-01-16 20:00:15,motion detected,E1,W1,W1
389,E2_dim_alert_W1,2026-01-16 20:05:18,motion detected,E2,W1,W1
390,E1_turn_on_alert_W1,2026-01-16 22:00:10,motion detected,E1,W1,W1
391,E2_dim_alert_W1,2026-01-16 22:05:17,motion detected,E2,W1,W1
392,E1_turn_on_alert_W1,2026-01-17 00:00:13,motion detected,E1,W1,W1
393,E2_dim_alert_W1,2026-01-17 00:05:18,motion detected,E2,W1,W1
394,E1_turn_on_alert_W1,2026-01-17 02:00:10,motion detected,E1,W1,W1
395,E2_dim_alert_W1,2026-01-17 02:05:14,motion detected,E2,W1,W1
396,E1_turn_on_alert_W1,2026-01-17 04:00:18,motion detected,E1,W1,W1
397,E2_dim_alert_W1,2026-01-17 04:05:20,motion detected,E2,W1,W1
398,E1_turn_on_alert_W1,2026-01-17 06:00:13,motion detected,E1,W1,W1
399,E2_dim_alert_W1,2026-01-17 06:05:16,motion detected,E2,W1,W1
400,E1_turn_on_alert_W1,2026-01-17 08:00:18,motion detected,E1,W1,W1
401,E2_dim_alert_W1,2026-01-17 08:05:20,motion detected,E2,W1,W1
402,E1_turn_on_alert_W1,2026-01-17 10:00:13,motion detected,E1,W1,W1
403,E2_dim_alert_W1,2026-01-17 10:05:13,motion detected,E2,W1,W1
404,E1_turn_on_alert_W1,2026-01-17 12:00:18,motion detected,E1,W1,W1
