device,type,c,a,t,_t_sort,a_cmd,a_i,c_a,c_i,d,d_p,d_s,d_t,id,m_i,s_post,s_pre
W1,interaction,317,E1_turn_on_alert_W1,2026-01-13 18:00:23,,,E1_turn_on_alert_W1,,317,,W1,E1,W1,,motion detected,,
W1,actuator,317,turn_on,2026-01-13 18:00:26,,turn_on,,317,,W1,,,,W1_light,,ON,dimmed
W1,interaction,318,E2_dim_alert_W1,2026-01-13 18:54:42,,,E2_dim_alert_W1,,318,,W1,E2,W1,,motion detected,,
W1,actuator,318,dim,2026-01-13 18:54:43,,dim,,318,,W1,,,,W1_light,,dimmed,ON
W1,interaction,319,E1_turn_on_alert_W1,2026-01-13 22:00:16,,,E1_turn_on_alert_W1,,319,,W1,E1,W1,,motion detected,,
W1,actuator,319,turn_on,2026-01-13 22:00:20,,turn_on,,319,,W1,,,,W1_light,,ON,dimmed
W1,interaction,320,E2_dim_alert_W1,2026-01-13 22:05:13,,,E2_dim_alert_W1,,320,,W1,E2,W1,,motion detected,,
W1,actuator,320,dim,2026-01-13 22:05:16,,dim,,320,,W1,,,,W1_light,,dimmed,ON
W1,interaction,321,E1_turn_on_alert_W1,2026-01-14 00:00:20,,,E1_turn_on_alert_W1,,321,,W1,E1,W1,,motion detected,,
W1,actuator,321,turn_on,2026-01-14 00:00:23,,turn_on,,321,,W1,,,,W1_light,,ON,dimmed
W1,interaction,322,E2_dim_alert_W1,2026-01-14 00:05:16,,,E2_dim_alert_W1,,322,,W1,E2,W1,,motion detected,,
W1,actuator,322,dim,2026-01-14 00:05:17,,dim,,322,,W1,,,,W1_light,,dimmed,ON
W1,actuator,323,turn_on,2026-01-14 02:00:16,,turn_on,,323,,W1,,,,W1_light,,ON,dimmed
W1,interaction,324,E2_dim_alert_W1,2026-01-14 02:05:14,,,E2_dim_alert_W1,,324,,W1,E2,W1,,motion detected,,
W1,actuator,324,dim,2026-01-14 02:05:16,,dim,,324,,W1,,,,W1_light,,dimmed,ON
W1,interaction,325,E1_turn_on_alert_W1,2026-01-14 04:00:17,,,E1_turn_on_alert_W1,,325,,W1,E1,W1,,motion detected,,
W1,actuator,325,turn_on,2026-01-14 04:00:21,,turn_on,,325,,W1,,,,W1_light,,ON,dimmed
W1,interaction,326,E2_dim_alert_W1,2026-01-14 04:05:15,,,E2_dim_alert_W1,,326,,W1,E2,W1,,motion detected,,
W1,actuator,326,dim,2026-01-14 04:05:16,,dim,,326,,W1,,,,W1_light,,dimmed,ON
W1,interaction,327,E1_turn_on_alert_W1,2026-01-14 06:00:12,,,E1_turn_on_alert_W1,,327,,W1,E1,W1,,motion detected,,
W1,actuator,327,turn_on,2026-01-14 06:00:13,,turn_on,,327,,W1,,,,W1_light,,ON,dimmed
W1,interaction,328,E2_dim_alert_W1,2026-01-14 06:05:11,,,E2_dim_alert_W1,,328,,W1,E2,W1,,motion detected,,
W1,actuator,328,dim,2026-01-14 06:05:13,,dim,,328,,W1,,,,W1_light,,dimmed,ON
W1,actuator,329,turn_on,2026-01-14 08:00:21,,turn_on,,329,,W1,,,,W1_light,,ON,dimmed
W1,interaction,330,E2_dim_alert_W1,2026-01-14 08:05:17,,,E2_dim_alert_W1,,330,,W1,E2,W1,,motion detected,,
W1,actuator,330,dim,2026-01-14 08:05:20,,dim,,330,,W1,,,,W1_light,,dimmed,ON
W1,interaction,331,E1_turn_on_alert_W1,2026-01-14 10:00:14,,,E1_turn_on_alert_W1,,331,,W1,E1,W1,,motion detected,,
W1,actuator,331,turn_on,2026-01-14 10:00:17,,turn_on,,331,,W1,,,,W1_light,,ON,dimmed
W1,interaction,332,E2_dim_alert_W1,2026-01-14 10:05:14,,,E2_dim_alert_W1,,332,,W1,E2,W1,,motion detected,,
