c,a,t,val
1,motion_detected_E1,2026-01-13 18:00:00,1
1,plate_captured_E1,2026-01-13 18:00:03,AAA101
1,turn_on_E1,2026-01-13 18:00:06,
2,E1_turn_on_alert_E2_E1,2026-01-13 18:00:12,
2,E1_turn_on_alert_E2_E2,2026-01-13 18:00:16,
2,turn_on_E2,2026-01-13 18:00:19,
2,E1_turn_on_alert_W1_W1,2026-01-13 18:00:23,
2,turn_on_W1,2026-01-13 18:00:26,
3,motion_detected_E1,2026-01-13 18:00:56,1
3,plate_captured_E1,2026-01-13 18:00:57,AAA102
4,motion_detected_E1,2026-01-13 18:01:26,1
4,plate_captured_E1,2026-01-13 18:01:28,AAA103
5,motion_detected_E1,2026-01-13 18:01:56,1
5,plate_captured_E1,2026-01-13 18:01:59,AAA104
6,motion_detected_E1,2026-01-13 18:02:26,1
6,plate_captured_E1,2026-01-13 18:02:28,AAA105
7,motion_detected_E1,2026-01-13 18:02:56,1
7,plate_captured_E1,2026-01-13 18:02:59,AAA106
8,motion_detected_E1,2026-01-13 18:03:26,1
8,plate_captured_E1,2026-01-13 18:03:28,AAA107
9,motion_detected_E1,2026-01-13 18:03:56,1
9,plate_captured_E1,2026-01-13 18:04:00,AAA108
10,motion_detected_E1,2026-01-13 18:04:26,1
10,plate_captured_E1,2026-01-13 18:04:27,AAA109
11,motion_detected_E1,2026-01-13 18:04:56,1
11,plate_captured_E1,2026-01-13 18:04:58,AAA110
12,motion_detected_E1,2026-01-13 18:05:26,1
12,plate_captured_E1,2026-01-13 18:05:29,AAA111
13,motion_detected_E1,2026-01-13 18:05:56,1
13,plate_captured_E1,2026-01-13 18:05:59,AAA112
14,motion_detected_E1,2026-01-13 18:06:26,1
14,plate_captured_E1,2026-01-13 18:06:27,AAA113
15,motion_detected_E1,2026-01-13 18:06:56,1
15,plate_captured_E1,2026-01-13 18:07:00,AAA114
16,motion_detected_E1,2026-01-13 18:07:26,1
16,plate_captured_E1,2026-01-13 18:07:29,AAA115
17,motion_detected_E1,2026-01-13 18:07:56,1
17,plate_captured_E1,2026-01-13 18:07:58,AAA116
18,motion_detected_E1,2026-01-13 18:08:26,1
19,motion_detected_E1,2026-01-13 18:08:56,1
19,plate_captured_E1,2026-01-13 18:08:57,AAA118
20,motion_detected_E1,2026-01-13 18:09:26,1
20,plate_captured_E1,2026-01-13 18:09:29,AAA119
21,motion_detected_E1,2026-01-13 18:09:56,1
21,plate_captured_E1,2026-01-13 18:09:57,AAA120
22,motion_detected_E1,2026-01-13 18:10:26,1
22,plate_captured_E1,2026-01-13 18:10:30,AAA121
23,motion_detected_E1,2026-01-13 18:10:56,1
23,plate_captured_E1,2026-01-13 18:11:00,AAA122
24,motion_detected_E1,2026-01-13 18:11:26,1
24,plate_captured_E1,2026-01-13 18:11:28,AAA123
25,motion_detected_E1,2026-01-13 18:11:56,1
25,plate_captured_E1,2026-01-13 18:12:00,AAA124
26,motion_detected_E1,2026-01-13 18:12:26,1
26,plate_captured_E1,2026-01-13 18:12:28,AAA125
27,motion_detected_E1,2026-01-13 18:12:56,1
27,plate_captured_E1,2026-01-13 18:12:57,AAA126
28,motion_detected_E1,2026-01-13 18:13:26,1
28,plate_captured_E1,2026-01-13 18:13:29,AAA127
29,motion_detected_E1,2026-01-13 18:13:56,1
29,plate_captured_E1,2026-01-13 18:13:59,AAA128
30,motion_detected_E1,2026-01-13 18:14:26,1
30,plate_captured_E1,2026-01-13 18:14:29,AAA129
31,plate_captured_E1,2026-01-13 18:15:00,AAA130
32,motion_detected_E1,2026-01-13 18:15:26,1
32,plate_captured_E1,2026-01-13 18:15:29,AAA131
33,motion_detected_E1,2026-01-13 18:15:56,1
33,plate_captured_E1,2026-01-13 18:15:57,AAA132
34,motion_detected_E1,2026-01-13 18:16:26,1
34,plate_captured_E1,2026-01-13 18:16:30,AAA133
35,motion_detected_E1,2026-01-13 18:16:56,1
35,plate_captured_E1,2026-01-13 18:16:58,AAA134
36,motion_detected_E1,2026-01-13 18:17:26,1
36,plate_captured_E1,2026-01-13 18:17:27,AAA135
37,motion_detected_E1,2026-01-13 18:17:56,1
37,plate_captured_E1,2026-01-13 18:17:57,AAA136
38,motion_detected_E1,2026-01-13 18:18:26,1
38,plate_captured_E1,2026-01-13 18:18:30,AAA137
39,motion_detected_E1,2026-01-13 18:18:56,1
39,plate_captured_E1,2026-01-13 18:18:57,AAA138
40,motion_detected_E1,2026-01-13 18:19:26,1
40,plate_captured_E1,2026-01-13 18:19:27,AAA139
41,motion_detected_E1,2026-01-13 18:19:56,1
41,plate_captured_E1,2026-01-13 18:19:58,AAA140
42,motion_detected_E1,2026-01-13 18:20:26,1
42,plate_captured_E1,2026-01-13 18:20:27,AAA141
43,motion_detected_E1,2026-01-13 18:20:56,1
43,plate_captured_E1,2026-01-13 18:20:57,AAA142
44,motion_detected_E1,2026-01-13 18:21:26,1
44,plate_captured_E1,2026-01-13 18:21:30,AAA143
45,motion_detected_E1,2026-01-13 18:21:56,1
