c_s,a_s,t,val,d,sid
162.0,motion_detected,2026-01-13 18:30:57,1,E2,E2_motion
162.0,plate_captured,2026-01-13 18:31:00,AAA103,E2,E2_camera
216.0,plate_captured,2026-01-14 04:05:01,BBB204,E2,E2_camera
241.0,plate_captured,2026-01-15 04:05:02,BBB216,E2,E2_camera
245.0,motion_detected,2026-01-15 08:05:00,1,E2,E2_motion
245.0,plate_captured,2026-01-15 08:05:03,BBB218,E2,E2_camera
255.0,motion_detected,2026-01-15 16:05:00,1,E2,E2_motion
255.0,plate_captured,2026-01-15 16:05:02,BBB222,E2,E2_camera
270.0,motion_detected,2026-01-16 06:05:00,1,E2,E2_motion
272.0,motion_detected,2026-01-16 08:05:00,1,E2,E2_motion
272.0,plate_captured,2026-01-16 08:05:02,BBB230,E2,E2_camera
277.0,motion_detected,2026-01-16 12:05:00,1,E2,E2_motion
292.0,motion_detected,2026-01-17 02:05:00,1,E2,E2_motion
292.0,plate_captured,2026-01-17 02:05:04,BBB239,E2,E2_camera
