device,d_s,id,m_i,d_t,sid,s_pre,type,a_cmd,d,s_post,a,c_i,a_i,c_s,t,c_a,val,d_p,c,a_s
E2,E1,,motion detected,E2,,,interaction,,,,E1_turn_on_alert_E2,160,E1_turn_on_alert_E2,,2026-01-13 18:00:16,,,E2,160,
E2,,E2_light,,,,dimmed,actuator,turn_on,E2,ON,turn_on,,,,2026-01-13 18:00:19,160,,,160,
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,161,2026-01-13 18:30:27,,1,,161,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,161,2026-01-13 18:30:28,,AAA102,,161,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,162,2026-01-13 18:30:57,,1,,162,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,162,2026-01-13 18:31:00,,AAA103,,162,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,163,2026-01-13 18:31:27,,1,,163,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,163,2026-01-13 18:31:28,,AAA104,,163,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,164,2026-01-13 18:31:57,,1,,164,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,164,2026-01-13 18:31:59,,AAA105,,164,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,165,2026-01-13 18:32:27,,1,,165,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,165,2026-01-13 18:32:30,,AAA106,,165,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,166,2026-01-13 18:32:57,,1,,166,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,166,2026-01-13 18:33:01,,AAA107,,166,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,167,2026-01-13 18:33:27,,1,,167,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,167,2026-01-13 18:33:31,,AAA108,,167,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,168,2026-01-13 18:33:57,,1,,168,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,168,2026-01-13 18:34:01,,AAA109,,168,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,169,2026-01-13 18:34:27,,1,,169,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,169,2026-01-13 18:34:31,,AAA110,,169,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,170,2026-01-13 18:34:57,,1,,170,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,170,2026-01-13 18:34:58,,AAA111,,170,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,171,2026-01-13 18:35:27,,1,,171,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,171,2026-01-13 18:35:28,,AAA112,,171,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,172,2026-01-13 18:35:57,,1,,172,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,172,2026-01-13 18:35:58,,AAA113,,172,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,173,2026-01-13 18:36:27,,1,,173,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,173,2026-01-13 18:36:31,,AAA114,,173,plate_captured
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,174,2026-01-13 18:37:01,,AAA115,,174,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,175,2026-01-13 18:37:27,,1,,175,motion_detected
E2,,,,,E2_camera,,sensor,,E2,,plate_captured,,,175,2026-01-13 18:37:28,,AAA116,,175,plate_captured
E2,,,,,E2_motion,,sensor,,E2,,motion_detected,,,176,2026-01-13 18:37:57,,1,,176,motion_detected
