device,d_s,id,m_i,d_t,sid,s_pre,type,a_cmd,d,s_post,a,c_i,a_i,c_s,t,c_a,val,d_p,c,a_s
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,317,E1_turn_on_alert_W1,,2026-01-13 18:00:23,,,W1,317,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-13 18:00:26,317,,,317,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,318,E2_dim_alert_W1,,2026-01-13 18:54:42,,,W1,318,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-13 18:54:43,318,,,318,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,319,E1_turn_on_alert_W1,,2026-01-13 22:00:16,,,W1,319,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-13 22:00:20,319,,,319,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,320,E2_dim_alert_W1,,2026-01-13 22:05:13,,,W1,320,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-13 22:05:16,320,,,320,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,321,E1_turn_on_alert_W1,,2026-01-14 00:00:20,,,W1,321,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 00:00:23,321,,,321,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,322,E2_dim_alert_W1,,2026-01-14 00:05:16,,,W1,322,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 00:05:17,322,,,322,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 02:00:16,323,,,323,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,324,E2_dim_alert_W1,,2026-01-14 02:05:14,,,W1,324,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 02:05:16,324,,,324,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,325,E1_turn_on_alert_W1,,2026-01-14 04:00:17,,,W1,325,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 04:00:21,325,,,325,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,326,E2_dim_alert_W1,,2026-01-14 04:05:15,,,W1,326,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 04:05:16,326,,,326,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,327,E1_turn_on_alert_W1,,2026-01-14 06:00:12,,,W1,327,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 06:00:13,327,,,327,
