c_s,a_s,t,val,d,sid
1,motion_detected,2026-01-13 18:00:00,1,E1,E1_motion
1,plate_captured,2026-01-13 18:00:02,AAA101,E1,E1_camera
2,motion_detected,2026-01-13 18:00:48,1,E1,E1_motion
2,plate_captured,2026-01-13 18:00:52,AAA102,E1,E1_camera
3,motion_detected,2026-01-13 18:01:18,1,E1,E1_motion
3,plate_captured,2026-01-13 18:01:21,AAA103,E1,E1_camera
4,motion_detected,2026-01-13 18:01:48,1,E1,E1_motion
4,plate_captured,2026-01-13 18:01:52,AAA104,E1,E1_camera
5,motion_detected,2026-01-13 18:02:18,1,E1,E1_motion
5,plate_captured,2026-01-13 18:02:22,AAA105,E1,E1_camera
6,motion_detected,2026-01-13 18:02:48,1,E1,E1_motion
6,plate_captured,2026-01-13 18:02:51,AAA106,E1,E1_camera
7,motion_detected,2026-01-13 18:03:18,1,E1,E1_motion
7,plate_captured,2026-01-13 18:03:21,AAA107,E1,E1_camera
8,motion_detected,2026-01-13 18:03:48,1,E1,E1_motion
8,plate_captured,2026-01-13 18:03:51,AAA108,E1,E1_camera
9,motion_detected,2026-01-13 18:04:18,1,E1,E1_motion
9,plate_captured,2026-01-13 18:04:20,AAA109,E1,E1_camera
10,motion_detected,2026-01-13 18:04:48,1,E1,E1_motion
10,plate_captured,2026-01-13 18:04:49,AAA110,E1,E1_camera
11,motion_detected,2026-01-13 18:05:18,1,E1,E1_motion
11,plate_captured,2026-01-13 18:05:22,AAA111,E1,E1_camera
12,motion_detected,2026-01-13 18:05:48,1,E1,E1_motion
12,plate_captured,2026-01-13 18:05:52,AAA112,E1,E1_camera
13,motion_detected,2026-01-13 18:06:18,1,E1,E1_motion
13,plate_captured,2026-01-13 18:06:22,AAA113,E1,E1_camera
14,motion_detected,2026-01-13 18:06:48,1,E1,E1_motion
14,plate_captured,2026-01-13 18:06:52,AAA114,E1,E1_camera
15,motion_detected,2026-01-13 18:07:18,1,E1,E1_motion
