c_a,a_cmd,t,s_pre,s_post,d,id
151,turn_on,2026-01-13 18:00:18,dimmed,ON,E2,E2_light
200,dim,2026-01-13 18:54:24,ON,dimmed,E2,E2_light
201,turn_on,2026-01-13 22:00:23,dimmed,ON,E2,E2_light
202,dim,2026-01-13 22:05:07,ON,dimmed,E2,E2_light
203,turn_on,2026-01-14 00:00:16,dimmed,ON,E2,E2_light
204,dim,2026-01-14 00:05:03,ON,dimmed,E2,E2_light
205,turn_on,2026-01-14 02:00:25,dimmed,ON,E2,E2_light
206,dim,2026-01-14 02:05:07,ON,dimmed,E2,E2_light
207,turn_on,2026-01-14 04:00:21,dimmed,ON,E2,E2_light
208,dim,2026-01-14 04:05:05,ON,dimmed,E2,E2_light
209,turn_on,2026-01-14 06:00:18,dimmed,ON,E2,E2_light
210,dim,2026-01-14 06:05:08,ON,dimmed,E2,E2_light
211,turn_on,2026-01-14 08:00:22,dimmed,ON,E2,E2_light
212,dim,2026-01-14 08:05:03,ON,dimmed,E2,E2_light
213,turn_on,2026-01-14 10:00:17,dimmed,ON,E2,E2_light
214,dim,2026-01-14 10:05:03,ON,dimmed,E2,E2_light
215,turn_on,2026-01-14 12:00:17,dimmed,ON,E2,E2_light
216,dim,2026-01-14 12:05:07,ON,dimmed,E2,E2_light
217,turn_on,2026-01-14 14:00:15,dimmed,ON,E2,E2_light
218,dim,2026-01-14 14:05:04,ON,dimmed,E2,E2_light
219,turn_on,2026-01-14 16:00:20,dimmed,ON,E2,E2_light
220,dim,2026-01-14 16:05:04,ON,dimmed,E2,E2_light
221,turn_on,2026-01-14 18:00:16,dimmed,ON,E2,E2_light
222,dim,2026-01-14 18:05:07,ON,dimmed,E2,E2_light
223,turn_on,2026-01-14 20:00:21,dimmed,ON,E2,E2_light
224,dim,2026-01-14 20:05:07,ON,dimmed,E2,E2_light
225,turn_on,2026-01-14 22:00:18,dimmed,ON,E2,E2_light
226,dim,2026-01-14 22:05:07,ON,dimmed,E2,E2_light
227,turn_on,2026-01-15 00:00:14,dimmed,ON,E2,E2_light
228,dim,2026-01-15 00:05:07,ON,dimmed,E2,E2_light
229,turn_on,2026-01-15 02:00:25,dimmed,ON,E2,E2_light
230,dim,2026-01-15 02:05:05,ON,dimmed,E2,E2_light
231,turn_on,2026-01-15 04:00:15,dimmed,ON,E2,E2_light
232,dim,2026-01-15 04:05:04,ON,dimmed,E2,E2_light
233,turn_on,2026-01-15 06:00:22,dimmed,ON,E2,E2_light
234,dim,2026-01-15 06:05:04,ON,dimmed,E2,E2_light
235,turn_on,2026-01-15 08:00:16,dimmed,ON,E2,E2_light
236,dim,2026-01-15 08:05:04,ON,dimmed,E2,E2_light
237,turn_on,2026-01-15 10:00:17,dimmed,ON,E2,E2_light
238,dim,2026-01-15 10:05:08,ON,dimmed,E2,E2_light
239,turn_on,2026-01-15 12:00:25,dimmed,ON,E2,E2_light
240,dim,2026-01-15 12:05:03,ON,dimmed,E2,E2_light
241,turn_on,2026-01-15 14:00:19,dimmed,ON,E2,E2_light
242,dim,2026-01-15 14:05:03,ON,dimmed,E2,E2_light
243,turn_on,2026-01-15 16:00:16,dimmed,ON,E2,E2_light
244,dim,2026-01-15 16:05:02,ON,dimmed,E2,E2_light
245,turn_on,2026-01-15 18:00:18,dimmed,ON,E2,E2_light
246,dim,2026-01-15 18:05:06,ON,dimmed,E2,E2_light
247,turn_on,2026-01-15 20:00:25,dimmed,ON,E2,E2_light
248,dim,2026-01-15 20:05:08,ON,dimmed,E2,E2_light
249,turn_on,2026-01-15 22:00:21,dimmed,ON,E2,E2_light
250,dim,2026-01-15 22:05:05,ON,dimmed,E2,E2_light
251,turn_on,2026-01-16 00:00:22,dimmed,ON,E2,E2_light
252,dim,2026-01-16 00:05:04,ON,dimmed,E2,E2_light
253,turn_on,2026-01-16 02:00:23,dimmed,ON,E2,E2_light
254,dim,2026-01-16 02:05:07,ON,dimmed,E2,E2_light
255,turn_on,2026-01-16 04:00:20,dimmed,ON,E2,E2_light
256,dim,2026-01-16 04:05:08,ON,dimmed,E2,E2_light
257,turn_on,2026-01-16 06:00:18,dimmed,ON,E2,E2_light
258,dim,2026-01-16 06:05:05,ON,dimmed,E2,E2_light
259,turn_on,2026-01-16 08:00:25,dimmed,ON,E2,E2_light
260,dim,2026-01-16 08:05:07,ON,dimmed,E2,E2_light
261,turn_on,2026-01-16 10:00:19,dimmed,ON,E2,E2_light
262,dim,2026-01-16 10:05:04,ON,dimmed,E2,E2_light
263,turn_on,2026-01-16 12:00:24,dimmed,ON,E2,E2_light
264,dim,2026-01-16 12:05:03,ON,dimmed,E2,E2_light
265,turn_on,2026-01-16 14:00:22,dimmed,ON,E2,E2_light
266,dim,2026-01-16 14:05:03,ON,dimmed,E2,E2_light
267,turn_on,2026-01-16 16:00:22,dimmed,ON,E2,E2_light
268,dim,2026-01-16 16:05:05,ON,dimmed,E2,E2_light
269,turn_on,2026-01-16 18:00:16,dimmed,ON,E2,E2_light
270,dim,2026-01-16 18:05:04,ON,dimmed,E2,E2_light
271,turn_on,2026-01-16 20:00:20,dimmed,ON,E2,E2_light
272,dim,2026-01-16 20:05:07,ON,dimmed,E2,E2_light
273,turn_on,2026-01-16 22:00:23,dimmed,ON,E2,E2_light
274,dim,2026-01-16 22:05:08,ON,dimmed,E2,E2_light
275,turn_on,2026-01-17 00:00:23,dimmed,ON,E2,E2_light
276,dim,2026-01-17 00:05:07,ON,dimmed,E2,E2_light
277,turn_on,2026-01-17 02:00:22,dimmed,ON,E2,E2_light
278,dim,2026-01-17 02:05:05,ON,dimmed,E2,E2_light
279,turn_on,2026-01-17 04:00:22,dimmed,ON,E2,E2_light
280,dim,2026-01-17 04:05:08,ON,dimmed,E2,E2_light
281,turn_on,2026-01-17 06:00:20,dimmed,ON,E2,E2_light
282,dim,2026-01-17 06:05:06,ON,dimmed,E2,E2_light
283,turn_on,2026-01-17 08:00:13,dimmed,ON,E2,E2_light
284,dim,2026-01-17 08:05:08,ON,dimmed,E2,E2_light
285,turn_on,2026-01-17 10:00:22,dimmed,ON,E2,E2_light
286,dim,2026-01-17 10:05:06,ON,dimmed,E2,E2_light
287,turn_on,2026-01-17 12:00:20,dimmed,ON,E2,E2_light
288,dim,2026-01-17 12:05:04,ON,dimmed,E2,E2_light
289,turn_on,2026-01-17 14:00:15,dimmed,ON,E2,E2_light
290,dim,2026-01-17 14:05:04,ON,dimmed,E2,E2_light
291,turn_on,2026-01-17 16:00:19,dimmed,ON,E2,E2_light
292,dim,2026-01-17 16:05:02,ON,dimmed,E2,E2_light
293,turn_on,2026-01-17 18:00:20,dimmed,ON,E2,E2_light
294,dim,2026-01-17 18:05:08,ON,dimmed,E2,E2_light
295,turn_on,2026-01-17 20:00:18,dimmed,ON,E2,E2_light
296,dim,2026-01-17 20:05:06,ON,dimmed,E2,E2_light
297,turn_on,2026-01-17 22:00:17,dimmed,ON,E2,E2_light
298,dim,2026-01-17 22:05:02,ON,dimmed,E2,E2_light
299,turn_on,2026-01-18 00:00:16,dimmed,ON,E2,E2_light
300,dim,2026-01-18 00:05:05,ON,dimmed,E2,E2_light
