c_i,a_i,t,m_i,d_s,d_t,d_p
151,E1_turn_on_alert_E2,2026-01-13 18:00:15,motion detected,E1,E2,E2
200,E2_dim_alert_E1,2026-01-13 18:54:25,motion detected,E2,E1,E2
200,E2_dim_alert_W1,2026-01-13 18:54:29,motion detected,E2,W1,E2
201,E1_turn_on_alert_E2,2026-01-13 22:00:21,motion detected,E1,E2,E2
202,E2_dim_alert_E1,2026-01-13 22:05:11,motion detected,E2,E1,E2
202,E2_dim_alert_W1,2026-01-13 22:05:14,motion detected,E2,W1,E2
203,E1_turn_on_alert_E2,2026-01-14 00:00:14,motion detected,E1,E2,E2
204,E2_dim_alert_E1,2026-01-14 00:05:05,motion detected,E2,E1,E2
204,E2_dim_alert_W1,2026-01-14 00:05:07,motion detected,E2,W1,E2
205,E1_turn_on_alert_E2,2026-01-14 02:00:23,motion detected,E1,E2,E2
206,E2_dim_alert_E1,2026-01-14 02:05:11,motion detected,E2,E1,E2
206,E2_dim_alert_W1,2026-01-14 02:05:12,motion detected,E2,W1,E2
207,E1_turn_on_alert_E2,2026-01-14 04:00:17,motion detected,E1,E2,E2
208,E2_dim_alert_E1,2026-01-14 04:05:08,motion detected,E2,E1,E2
208,E2_dim_alert_W1,2026-01-14 04:05:12,motion detected,E2,W1,E2
209,E1_turn_on_alert_E2,2026-01-14 06:00:15,motion detected,E1,E2,E2
210,E2_dim_alert_E1,2026-01-14 06:05:09,motion detected,E2,E1,E2
210,E2_dim_alert_W1,2026-01-14 06:05:10,motion detected,E2,W1,E2
211,E1_turn_on_alert_E2,2026-01-14 08:00:18,motion detected,E1,E2,E2
212,E2_dim_alert_E1,2026-01-14 08:05:05,motion detected,E2,E1,E2
212,E2_dim_alert_W1,2026-01-14 08:05:07,motion detected,E2,W1,E2
213,E1_turn_on_alert_E2,2026-01-14 10:00:16,motion detected,E1,E2,E2
214,E2_dim_alert_E1,2026-01-14 10:05:04,motion detected,E2,E1,E2
214,E2_dim_alert_W1,2026-01-14 10:05:06,motion detected,E2,W1,E2
215,E1_turn_on_alert_E2,2026-01-14 12:00:14,motion detected,E1,E2,E2
216,E2_dim_alert_E1,2026-01-14 12:05:09,motion detected,E2,E1,E2
216,E2_dim_alert_W1,2026-01-14 12:05:12,motion detected,E2,W1,E2
217,E1_turn_on_alert_E2,2026-01-14 14:00:14,motion detected,E1,E2,E2
218,E2_dim_alert_E1,2026-01-14 14:05:06,motion detected,E2,E1,E2
218,E2_dim_alert_W1,2026-01-14 14:05:09,motion detected,E2,W1,E2
219,E1_turn_on_alert_E2,2026-01-14 16:00:18,motion detected,E1,E2,E2
220,E2_dim_alert_E1,2026-01-14 16:05:05,motion detected,E2,E1,E2
220,E2_dim_alert_W1,2026-01-14 16:05:07,motion detected,E2,W1,E2
221,E1_turn_on_alert_E2,2026-01-14 18:00:14,motion detected,E1,E2,E2
222,E2_dim_alert_E1,2026-01-14 18:05:10,motion detected,E2,E1,E2
222,E2_dim_alert_W1,2026-01-14 18:05:11,motion detected,E2,W1,E2
223,E1_turn_on_alert_E2,2026-01-14 20:00:19,motion detected,E1,E2,E2
224,E2_dim_alert_E1,2026-01-14 20:05:09,motion detected,E2,E1,E2
224,E2_dim_alert_W1,2026-01-14 20:05:13,motion detected,E2,W1,E2
225,E1_turn_on_alert_E2,2026-01-14 22:00:15,motion detected,E1,E2,E2
226,E2_dim_alert_E1,2026-01-14 22:05:09,motion detected,E2,E1,E2
226,E2_dim_alert_W1,2026-01-14 22:05:10,motion detected,E2,W1,E2
227,E1_turn_on_alert_E2,2026-01-15 00:00:13,motion detected,E1,E2,E2
228,E2_dim_alert_E1,2026-01-15 00:05:09,motion detected,E2,E1,E2
228,E2_dim_alert_W1,2026-01-15 00:05:10,motion detected,E2,W1,E2
229,E1_turn_on_alert_E2,2026-01-15 02:00:22,motion detected,E1,E2,E2
230,E2_dim_alert_E1,2026-01-15 02:05:06,motion detected,E2,E1,E2
230,E2_dim_alert_W1,2026-01-15 02:05:10,motion detected,E2,W1,E2
231,E1_turn_on_alert_E2,2026-01-15 04:00:14,motion detected,E1,E2,E2
232,E2_dim_alert_E1,2026-01-15 04:05:05,motion detected,E2,E1,E2
232,E2_dim_alert_W1,2026-01-15 04:05:08,motion detected,E2,W1,E2
233,E1_turn_on_alert_E2,2026-01-15 06:00:18,motion detected,E1,E2,E2
234,E2_dim_alert_E1,2026-01-15 06:05:08,motion detected,E2,E1,E2
234,E2_dim_alert_W1,2026-01-15 06:05:11,motion detected,E2,W1,E2
235,E1_turn_on_alert_E2,2026-01-15 08:00:15,motion detected,E1,E2,E2
236,E2_dim_alert_E1,2026-01-15 08:05:08,motion detected,E2,E1,E2
236,E2_dim_alert_W1,2026-01-15 08:05:12,motion detected,E2,W1,E2
237,E1_turn_on_alert_E2,2026-01-15 10:00:16,motion detected,E1,E2,E2
238,E2_dim_alert_E1,2026-01-15 10:05:09,motion detected,E2,E1,E2
238,E2_dim_alert_W1,2026-01-15 10:05:11,motion detected,E2,W1,E2
239,E1_turn_on_alert_E2,2026-01-15 12:00:21,motion detected,E1,E2,E2
240,E2_dim_alert_E1,2026-01-15 12:05:04,motion detected,E2,E1,E2
240,E2_dim_alert_W1,2026-01-15 12:05:08,motion detected,E2,W1,E2
241,E1_turn_on_alert_E2,2026-01-15 14:00:18,motion detected,E1,E2,E2
242,E2_dim_alert_E1,2026-01-15 14:05:04,motion detected,E2,E1,E2
242,E2_dim_alert_W1,2026-01-15 14:05:05,motion detected,E2,W1,E2
243,E1_turn_on_alert_E2,2026-01-15 16:00:15,motion detected,E1,E2,E2
244,E2_dim_alert_E1,2026-01-15 16:05:03,motion detected,E2,E1,E2
244,E2_dim_alert_W1,2026-01-15 16:05:04,motion detected,E2,W1,E2
245,E1_turn_on_alert_E2,2026-01-15 18:00:16,motion detected,E1,E2,E2
246,E2_dim_alert_E1,2026-01-15 18:05:10,motion detected,E2,E1,E2
246,E2_dim_alert_W1,2026-01-15 18:05:11,motion detected,E2,W1,E2
247,E1_turn_on_alert_E2,2026-01-15 20:00:21,motion detected,E1,E2,E2
248,E2_dim_alert_E1,2026-01-15 20:05:10,motion detected,E2,E1,E2
248,E2_dim_alert_W1,2026-01-15 20:05:13,motion detected,E2,W1,E2
249,E1_turn_on_alert_E2,2026-01-15 22:00:20,motion detected,E1,E2,E2
250,E2_dim_alert_E1,2026-01-15 22:05:08,motion detected,E2,E1,E2
250,E2_dim_alert_W1,2026-01-15 22:05:09,motion detected,E2,W1,E2
251,E1_turn_on_alert_E2,2026-01-16 00:00:20,motion detected,E1,E2,E2
252,E2_dim_alert_E1,2026-01-16 00:05:05,motion detected,E2,E1,E2
252,E2_dim_alert_W1,2026-01-16 00:05:06,motion detected,E2,W1,E2
253,E1_turn_on_alert_E2,2026-01-16 02:00:21,motion detected,E1,E2,E2
254,E2_dim_alert_E1,2026-01-16 02:05:09,motion detected,E2,E1,E2
254,E2_dim_alert_W1,2026-01-16 02:05:13,motion detected,E2,W1,E2
255,E1_turn_on_alert_E2,2026-01-16 04:00:18,motion detected,E1,E2,E2
256,E2_dim_alert_E1,2026-01-16 04:05:10,motion detected,E2,E1,E2
256,E2_dim_alert_W1,2026-01-16 04:05:12,motion detected,E2,W1,E2
257,E1_turn_on_alert_E2,2026-01-16 06:00:15,motion detected,E1,E2,E2
258,E2_dim_alert_E1,2026-01-16 06:05:09,motion detected,E2,E1,E2
258,E2_dim_alert_W1,2026-01-16 06:05:13,motion detected,E2,W1,E2
259,E1_turn_on_alert_E2,2026-01-16 08:00:21,motion detected,E1,E2,E2
260,E2_dim_alert_E1,2026-01-16 08:05:09,motion detected,E2,E1,E2
260,E2_dim_alert_W1,2026-01-16 08:05:10,motion detected,E2,W1,E2
261,E1_turn_on_alert_E2,2026-01-16 10:00:17,motion detected,E1,E2,E2
262,E2_dim_alert_E1,2026-01-16 10:05:07,motion detected,E2,E1,E2
262,E2_dim_alert_W1,2026-01-16 10:05:09,motion detected,E2,W1,E2
263,E1_turn_on_alert_E2,2026-01-16 12:00:20,motion detected,E1,E2,E2
264,E2_dim_alert_E1,2026-01-16 12:05:04,motion detected,E2,E1,E2
264,E2_dim_alert_W1,2026-01-16 12:05:05,motion detected,E2,W1,E2
265,E1_turn_on_alert_E2,2026-01-16 14:00:20,motion detected,E1,E2,E2
266,E2_dim_alert_E1,2026-01-16 14:05:04,motion detected,E2,E1,E2
266,E2_dim_alert_W1,2026-01-16 14:05:05,motion detected,E2,W1,E2
267,E1_turn_on_alert_E2,2026-01-16 16:00:21,motion detected,E1,E2,E2
268,E2_dim_alert_E1,2026-01-16 16:05:09,motion detected,E2,E1,E2
268,E2_dim_alert_W1,2026-01-16 16:05:12,motion detected,E2,W1,E2
269,E1_turn_on_alert_E2,2026-01-16 18:00:13,motion detected,E1,E2,E2
270,E2_dim_alert_E1,2026-01-16 18:05:08,motion detected,E2,E1,E2
270,E2_dim_alert_W1,2026-01-16 18:05:10,motion detected,E2,W1,E2
271,E1_turn_on_alert_E2,2026-01-16 20:00:18,motion detected,E1,E2,E2
272,E2_dim_alert_E1,2026-01-16 20:05:11,motion detected,E2,E1,E2
272,E2_dim_alert_W1,2026-01-16 20:05:14,motion detected,E2,W1,E2
273,E1_turn_on_alert_E2,2026-01-16 22:00:20,motion detected,E1,E2,E2
274,E2_dim_alert_E1,2026-01-16 22:05:09,motion detected,E2,E1,E2
274,E2_dim_alert_W1,2026-01-16 22:05:11,motion detected,E2,W1,E2
275,E1_turn_on_alert_E2,2026-01-17 00:00:20,motion detected,E1,E2,E2
276,E2_dim_alert_E1,2026-01-17 00:05:11,motion detected,E2,E1,E2
276,E2_dim_alert_W1,2026-01-17 00:05:12,motion detected,E2,W1,E2
277,E1_turn_on_alert_E2,2026-01-17 02:00:21,motion detected,E1,E2,E2
278,E2_dim_alert_E1,2026-01-17 02:05:09,motion detected,E2,E1,E2
278,E2_dim_alert_W1,2026-01-17 02:05:11,motion detected,E2,W1,E2
279,E1_turn_on_alert_E2,2026-01-17 04:00:19,motion detected,E1,E2,E2
280,E2_dim_alert_E1,2026-01-17 04:05:10,motion detected,E2,E1,E2
280,E2_dim_alert_W1,2026-01-17 04:05:11,motion detected,E2,W1,E2
281,E1_turn_on_alert_E2,2026-01-17 06:00:18,motion detected,E1,E2,E2
282,E2_dim_alert_E1,2026-01-17 06:05:10,motion detected,E2,E1,E2
282,E2_dim_alert_W1,2026-01-17 06:05:12,motion detected,E2,W1,E2
283,E1_turn_on_alert_E2,2026-01-17 08:00:12,motion detected,E1,E2,E2
284,E2_dim_alert_E1,2026-01-17 08:05:09,motion detected,E2,E1,E2
284,E2_dim_alert_W1,2026-01-17 08:05:12,motion detected,E2,W1,E2
285,E1_turn_on_alert_E2,2026-01-17 10:00:21,motion detected,E1,E2,E2
286,E2_dim_alert_E1,2026-01-17 10:05:08,motion detected,E2,E1,E2
286,E2_dim_alert_W1,2026-01-17 10:05:12,motion detected,E2,W1,E2
287,E1_turn_on_alert_E2,2026-01-17 12:00:17,motion detected,E1,E2,E2
288,E2_dim_alert_E1,2026-01-17 12:05:06,motion detected,E2,E1,E2
288,E2_dim_alert_W1,2026-01-17 12:05:10,motion detected,E2,W1,E2
289,E1_turn_on_alert_E2,2026-01-17 14:00:13,motion detected,E1,E2,E2
290,E2_dim_alert_E1,2026-01-17 14:05:08,motion detected,E2,E1,E2
290,E2_dim_alert_W1,2026-01-17 14:05:10,motion detected,E2,W1,E2
291,E1_turn_on_alert_E2,2026-01-17 16:00:15,motion detected,E1,E2,E2
292,E2_dim_alert_E1,2026-01-17 16:05:03,motion detected,E2,E1,E2
292,E2_dim_alert_W1,2026-01-17 16:05:05,motion detected,E2,W1,E2
293,E1_turn_on_alert_E2,2026-01-17 18:00:17,motion detected,E1,E2,E2
294,E2_dim_alert_E1,2026-01-17 18:05:09,motion detected,E2,E1,E2
294,E2_dim_alert_W1,2026-01-17 18:05:11,motion detected,E2,W1,E2
295,E1_turn_on_alert_E2,2026-01-17 20:00:14,motion detected,E1,E2,E2
296,E2_dim_alert_E1,2026-01-17 20:05:08,motion detected,E2,E1,E2
296,E2_dim_alert_W1,2026-01-17 20:05:10,motion detected,E2,W1,E2
297,E1_turn_on_alert_E2,2026-01-17 22:00:14,motion detected,E1,E2,E2
298,E2_dim_alert_E1,2026-01-17 22:05:06,motion detected,E2,E1,E2
298,E2_dim_alert_W1,2026-01-17 22:05:09,motion detected,E2,W1,E2
299,E1_turn_on_alert_E2,2026-01-18 00:00:12,motion detected,E1,E2,E2
300,E2_dim_alert_E1,2026-01-18 00:05:06,motion detected,E2,E1,E2
300,E2_dim_alert_W1,2026-01-18 00:05:07,motion detected,E2,W1,E2
