c_a,a_cmd,t,s_pre,s_post,d,id
300,turn_on,2026-01-13 18:00:13,dimmed,ON,W1,W1_light
301,dim,2026-01-13 18:54:40,ON,dimmed,W1,W1_light
302,turn_on,2026-01-13 22:00:19,dimmed,ON,W1,W1_light
303,dim,2026-01-13 22:05:25,ON,dimmed,W1,W1_light
304,turn_on,2026-01-14 00:00:13,dimmed,ON,W1,W1_light
305,dim,2026-01-14 00:05:18,ON,dimmed,W1,W1_light
306,turn_on,2026-01-14 02:00:20,dimmed,ON,W1,W1_light
307,dim,2026-01-14 02:05:17,ON,dimmed,W1,W1_light
308,turn_on,2026-01-14 04:00:16,dimmed,ON,W1,W1_light
309,dim,2026-01-14 04:05:20,ON,dimmed,W1,W1_light
310,turn_on,2026-01-14 06:00:13,dimmed,ON,W1,W1_light
311,dim,2026-01-14 06:05:21,ON,dimmed,W1,W1_light
312,turn_on,2026-01-14 08:00:15,dimmed,ON,W1,W1_light
313,dim,2026-01-14 08:05:12,ON,dimmed,W1,W1_light
314,turn_on,2026-01-14 10:00:15,dimmed,ON,W1,W1_light
315,dim,2026-01-14 10:05:15,ON,dimmed,W1,W1_light
316,turn_on,2026-01-14 12:00:12,dimmed,ON,W1,W1_light
317,dim,2026-01-14 12:05:24,ON,dimmed,W1,W1_light
318,turn_on,2026-01-14 14:00:13,dimmed,ON,W1,W1_light
319,dim,2026-01-14 14:05:21,ON,dimmed,W1,W1_light
320,turn_on,2026-01-14 16:00:17,dimmed,ON,W1,W1_light
321,dim,2026-01-14 16:05:20,ON,dimmed,W1,W1_light
322,turn_on,2026-01-14 18:00:12,dimmed,ON,W1,W1_light
323,dim,2026-01-14 18:05:21,ON,dimmed,W1,W1_light
324,turn_on,2026-01-14 20:00:17,dimmed,ON,W1,W1_light
325,dim,2026-01-14 20:05:23,ON,dimmed,W1,W1_light
326,turn_on,2026-01-14 22:00:14,dimmed,ON,W1,W1_light
327,dim,2026-01-14 22:05:22,ON,dimmed,W1,W1_light
328,turn_on,2026-01-15 00:00:12,dimmed,ON,W1,W1_light
329,dim,2026-01-15 00:05:24,ON,dimmed,W1,W1_light
330,turn_on,2026-01-15 02:00:19,dimmed,ON,W1,W1_light
331,dim,2026-01-15 02:05:21,ON,dimmed,W1,W1_light
332,turn_on,2026-01-15 04:00:13,dimmed,ON,W1,W1_light
333,dim,2026-01-15 04:05:17,ON,dimmed,W1,W1_light
334,turn_on,2026-01-15 06:00:14,dimmed,ON,W1,W1_light
335,dim,2026-01-15 06:05:21,ON,dimmed,W1,W1_light
336,turn_on,2026-01-15 08:00:11,dimmed,ON,W1,W1_light
337,dim,2026-01-15 08:05:22,ON,dimmed,W1,W1_light
338,turn_on,2026-01-15 10:00:15,dimmed,ON,W1,W1_light
339,dim,2026-01-15 10:05:19,ON,dimmed,W1,W1_light
340,turn_on,2026-01-15 12:00:19,dimmed,ON,W1,W1_light
341,dim,2026-01-15 12:05:16,ON,dimmed,W1,W1_light
342,turn_on,2026-01-15 14:00:17,dimmed,ON,W1,W1_light
343,dim,2026-01-15 14:05:14,ON,dimmed,W1,W1_light
344,turn_on,2026-01-15 16:00:14,dimmed,ON,W1,W1_light
345,dim,2026-01-15 16:05:15,ON,dimmed,W1,W1_light
346,turn_on,2026-01-15 18:00:15,dimmed,ON,W1,W1_light
347,dim,2026-01-15 18:05:25,ON,dimmed,W1,W1_light
348,turn_on,2026-01-15 20:00:18,dimmed,ON,W1,W1_light
349,dim,2026-01-15 20:05:27,ON,dimmed,W1,W1_light
350,turn_on,2026-01-15 22:00:16,dimmed,ON,W1,W1_light
351,dim,2026-01-15 22:05:17,ON,dimmed,W1,W1_light
352,turn_on,2026-01-16 00:00:16,dimmed,ON,W1,W1_light
353,dim,2026-01-16 00:05:16,ON,dimmed,W1,W1_light
354,turn_on,2026-01-16 02:00:17,dimmed,ON,W1,W1_light
355,dim,2026-01-16 02:05:23,ON,dimmed,W1,W1_light
356,turn_on,2026-01-16 04:00:16,dimmed,ON,W1,W1_light
357,dim,2026-01-16 04:05:20,ON,dimmed,W1,W1_light
358,turn_on,2026-01-16 06:00:14,dimmed,ON,W1,W1_light
359,dim,2026-01-16 06:05:21,ON,dimmed,W1,W1_light
360,turn_on,2026-01-16 08:00:20,dimmed,ON,W1,W1_light
361,dim,2026-01-16 08:05:21,ON,dimmed,W1,W1_light
362,turn_on,2026-01-16 10:00:13,dimmed,ON,W1,W1_light
363,dim,2026-01-16 10:05:20,ON,dimmed,W1,W1_light
364,turn_on,2026-01-16 12:00:16,dimmed,ON,W1,W1_light
365,dim,2026-01-16 12:05:20,ON,dimmed,W1,W1_light
366,turn_on,2026-01-16 14:00:17,dimmed,ON,W1,W1_light
367,dim,2026-01-16 14:05:12,ON,dimmed,W1,W1_light
368,turn_on,2026-01-16 16:00:17,dimmed,ON,W1,W1_light
369,dim,2026-01-16 16:05:26,ON,dimmed,W1,W1_light
370,turn_on,2026-01-16 18:00:10,dimmed,ON,W1,W1_light
371,dim,2026-01-16 18:05:15,ON,dimmed,W1,W1_light
372,turn_on,2026-01-16 20:00:14,dimmed,ON,W1,W1_light
373,dim,2026-01-16 20:05:27,ON,dimmed,W1,W1_light
374,turn_on,2026-01-16 22:00:17,dimmed,ON,W1,W1_light
375,dim,2026-01-16 22:05:19,ON,dimmed,W1,W1_light
376,turn_on,2026-01-17 00:00:18,dimmed,ON,W1,W1_light
377,dim,2026-01-17 00:05:19,ON,dimmed,W1,W1_light
378,turn_on,2026-01-17 02:00:19,dimmed,ON,W1,W1_light
379,dim,2026-01-17 02:05:16,ON,dimmed,W1,W1_light
380,turn_on,2026-01-17 04:00:17,dimmed,ON,W1,W1_light
381,dim,2026-01-17 04:05:22,ON,dimmed,W1,W1_light
382,turn_on,2026-01-17 06:00:15,dimmed,ON,W1,W1_light
383,dim,2026-01-17 06:05:25,ON,dimmed,W1,W1_light
384,turn_on,2026-01-17 08:00:11,dimmed,ON,W1,W1_light
385,dim,2026-01-17 08:05:21,ON,dimmed,W1,W1_light
386,turn_on,2026-01-17 10:00:17,dimmed,ON,W1,W1_light
387,dim,2026-01-17 10:05:19,ON,dimmed,W1,W1_light
388,turn_on,2026-01-17 12:00:16,dimmed,ON,W1,W1_light
389,dim,2026-01-17 12:05:19,ON,dimmed,W1,W1_light
390,turn_on,2026-01-17 14:00:11,dimmed,ON,W1,W1_light
391,dim,2026-01-17 14:05:16,ON,dimmed,W1,W1_light
392,turn_on,2026-01-17 16:00:11,dimmed,ON,W1,W1_light
393,dim,2026-01-17 16:05:17,ON,dimmed,W1,W1_light
394,turn_on,2026-01-17 18:00:15,dimmed,ON,W1,W1_light
395,dim,2026-01-17 18:05:24,ON,dimmed,W1,W1_light
396,turn_on,2026-01-17 20:00:12,dimmed,ON,W1,W1_light
