c_i,a_i,t,m_i,d_s,d_t,d_p
300,E1_turn_on_alert_W1,2026-01-13 18:00:09,motion detected,E1,W1,W1
301,E2_dim_alert_W1,2026-01-13 18:54:37,motion detected,E2,W1,W1
302,E1_turn_on_alert_W1,2026-01-13 22:00:17,motion detected,E1,W1,W1
303,E2_dim_alert_W1,2026-01-13 22:05:23,motion detected,E2,W1,W1
304,E1_turn_on_alert_W1,2026-01-14 00:00:11,motion detected,E1,W1,W1
305,E2_dim_alert_W1,2026-01-14 00:05:16,motion detected,E2,W1,W1
306,E1_turn_on_alert_W1,2026-01-14 02:00:18,motion detected,E1,W1,W1
307,E2_dim_alert_W1,2026-01-14 02:05:15,motion detected,E2,W1,W1
308,E1_turn_on_alert_W1,2026-01-14 04:00:13,motion detected,E1,W1,W1
309,E2_dim_alert_W1,2026-01-14 04:05:17,motion detected,E2,W1,W1
310,E1_turn_on_alert_W1,2026-01-14 06:00:10,motion detected,E1,W1,W1
311,E2_dim_alert_W1,2026-01-14 06:05:18,motion detected,E2,W1,W1
312,E1_turn_on_alert_W1,2026-01-14 08:00:11,motion detected,E1,W1,W1
313,E2_dim_alert_W1,2026-01-14 08:05:11,motion detected,E2,W1,W1
314,E1_turn_on_alert_W1,2026-01-14 10:00:11,motion detected,E1,W1,W1
315,E2_dim_alert_W1,2026-01-14 10:05:13,motion detected,E2,W1,W1
316,E1_turn_on_alert_W1,2026-01-14 12:00:11,motion detected,E1,W1,W1
317,E2_dim_alert_W1,2026-01-14 12:05:22,motion detected,E2,W1,W1
318,E1_turn_on_alert_W1,2026-01-14 14:00:12,motion detected,E1,W1,W1
319,E2_dim_alert_W1,2026-01-14 14:05:17,motion detected,E2,W1,W1
320,E1_turn_on_alert_W1,2026-01-14 16:00:15,motion detected,E1,W1,W1
321,E2_dim_alert_W1,2026-01-14 16:05:19,motion detected,E2,W1,W1
322,E1_turn_on_alert_W1,2026-01-14 18:00:09,motion detected,E1,W1,W1
323,E2_dim_alert_W1,2026-01-14 18:05:17,motion detected,E2,W1,W1
324,E1_turn_on_alert_W1,2026-01-14 20:00:14,motion detected,E1,W1,W1
325,E2_dim_alert_W1,2026-01-14 20:05:21,motion detected,E2,W1,W1
326,E1_turn_on_alert_W1,2026-01-14 22:00:13,motion detected,E1,W1,W1
327,E2_dim_alert_W1,2026-01-14 22:05:18,motion detected,E2,W1,W1
328,E1_turn_on_alert_W1,2026-01-15 00:00:09,motion detected,E1,W1,W1
329,E2_dim_alert_W1,2026-01-15 00:05:20,motion detected,E2,W1,W1
330,E1_turn_on_alert_W1,2026-01-15 02:00:15,motion detected,E1,W1,W1
331,E2_dim_alert_W1,2026-01-15 02:05:17,motion detected,E2,W1,W1
332,E1_turn_on_alert_W1,2026-01-15 04:00:10,motion detected,E1,W1,W1
333,E2_dim_alert_W1,2026-01-15 04:05:16,motion detected,E2,W1,W1
334,E1_turn_on_alert_W1,2026-01-15 06:00:13,motion detected,E1,W1,W1
