val,d_s,m_i,a_s,a_i,s_post,c_s,device,a,sid,c,c_a,t,a_cmd,s_pre,id,d_p,type,c_i,d_t,d
1,,,motion_detected,,,1,E1,motion_detected,E1_motion,1,,2026-01-13 18:00:00,,,,,sensor,,,E1
AAA101,,,plate_captured,,,1,E1,plate_captured,E1_camera,1,,2026-01-13 18:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,1,1,2026-01-13 18:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,1,,2026-01-13 18:00:07,,,,E1,interaction,1,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,1,,2026-01-13 18:00:08,,,,E1,interaction,1,E2,
1,,,motion_detected,,,2,E1,motion_detected,E1_motion,2,,2026-01-13 18:00:48,,,,,sensor,,,E1
AAA102,,,plate_captured,,,2,E1,plate_captured,E1_camera,2,,2026-01-13 18:00:52,,,,,sensor,,,E1
1,,,motion_detected,,,3,E1,motion_detected,E1_motion,3,,2026-01-13 18:01:18,,,,,sensor,,,E1
AAA103,,,plate_captured,,,3,E1,plate_captured,E1_camera,3,,2026-01-13 18:01:21,,,,,sensor,,,E1
1,,,motion_detected,,,4,E1,motion_detected,E1_motion,4,,2026-01-13 18:01:48,,,,,sensor,,,E1
AAA104,,,plate_captured,,,4,E1,plate_captured,E1_camera,4,,2026-01-13 18:01:52,,,,,sensor,,,E1
1,,,motion_detected,,,5,E1,motion_detected,E1_motion,5,,2026-01-13 18:02:18,,,,,sensor,,,E1
AAA105,,,plate_captured,,,5,E1,plate_captured,E1_camera,5,,2026-01-13 18:02:22,,,,,sensor,,,E1
1,,,motion_detected,,,6,E1,motion_detected,E1_motion,6,,2026-01-13 18:02:48,,,,,sensor,,,E1
AAA106,,,plate_captured,,,6,E1,plate_captured,E1_camera,6,,2026-01-13 18:02:51,,,,,sensor,,,E1
1,,,motion_detected,,,7,E1,motion_detected,E1_motion,7,,2026-01-13 18:03:18,,,,,sensor,,,E1
AAA107,,,plate_captured,,,7,E1,plate_captured,E1_camera,7,,2026-01-13 18:03:21,,,,,sensor,,,E1
1,,,motion_detected,,,8,E1,motion_detected,E1_motion,8,,2026-01-13 18:03:48,,,,,sensor,,,E1
AAA108,,,plate_captured,,,8,E1,plate_captured,E1_camera,8,,2026-01-13 18:03:51,,,,,sensor,,,E1
1,,,motion_detected,,,9,E1,motion_detected,E1_motion,9,,2026-01-13 18:04:18,,,,,sensor,,,E1
AAA109,,,plate_captured,,,9,E1,plate_captured,E1_camera,9,,2026-01-13 18:04:20,,,,,sensor,,,E1
1,,,motion_detected,,,10,E1,motion_detected,E1_motion,10,,2026-01-13 18:04:48,,,,,sensor,,,E1
AAA110,,,plate_captured,,,10,E1,plate_captured,E1_camera,10,,2026-01-13 18:04:49,,,,,sensor,,,E1
1,,,motion_detected,,,11,E1,motion_detected,E1_motion,11,,2026-01-13 18:05:18,,,,,sensor,,,E1
AAA111,,,plate_captured,,,11,E1,plate_captured,E1_camera,11,,2026-01-13 18:05:22,,,,,sensor,,,E1
1,,,motion_detected,,,12,E1,motion_detected,E1_motion,12,,2026-01-13 18:05:48,,,,,sensor,,,E1
AAA112,,,plate_captured,,,12,E1,plate_captured,E1_camera,12,,2026-01-13 18:05:52,,,,,sensor,,,E1
1,,,motion_detected,,,13,E1,motion_detected,E1_motion,13,,2026-01-13 18:06:18,,,,,sensor,,,E1
AAA113,,,plate_captured,,,13,E1,plate_captured,E1_camera,13,,2026-01-13 18:06:22,,,,,sensor,,,E1
1,,,motion_detected,,,14,E1,motion_detected,E1_motion,14,,2026-01-13 18:06:48,,,,,sensor,,,E1
AAA114,,,plate_captured,,,14,E1,plate_captured,E1_camera,14,,2026-01-13 18:06:52,,,,,sensor,,,E1
1,,,motion_detected,,,15,E1,motion_detected,E1_motion,15,,2026-01-13 18:07:18,,,,,sensor,,,E1
AAA115,,,plate_captured,,,15,E1,plate_captured,E1_camera,15,,2026-01-13 18:07:22,,,,,sensor,,,E1
1,,,motion_detected,,,16,E1,motion_detected,E1_motion,16,,2026-01-13 18:07:48,,,,,sensor,,,E1
