val,d_s,m_i,a_s,a_i,s_post,c_s,device,a,sid,c,c_a,t,a_cmd,s_pre,id,d_p,type,c_i,d_t,d
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,300,,2026-01-13 18:00:09,,,,W1,interaction,300,W1,
,,,,,ON,,W1,turn_on,,300,300,2026-01-13 18:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,301,,2026-01-13 18:54:37,,,,W1,interaction,301,W1,
,,,,,dimmed,,W1,dim,,301,301,2026-01-13 18:54:40,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,302,,2026-01-13 22:00:17,,,,W1,interaction,302,W1,
,,,,,ON,,W1,turn_on,,302,302,2026-01-13 22:00:19,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,303,,2026-01-13 22:05:23,,,,W1,interaction,303,W1,
,,,,,dimmed,,W1,dim,,303,303,2026-01-13 22:05:25,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,304,,2026-01-14 00:00:11,,,,W1,interaction,304,W1,
,,,,,ON,,W1,turn_on,,304,304,2026-01-14 00:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,305,,2026-01-14 00:05:16,,,,W1,interaction,305,W1,
,,,,,dimmed,,W1,dim,,305,305,2026-01-14 00:05:18,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,306,,2026-01-14 02:00:18,,,,W1,interaction,306,W1,
,,,,,ON,,W1,turn_on,,306,306,2026-01-14 02:00:20,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,307,,2026-01-14 02:05:15,,,,W1,interaction,307,W1,
,,,,,dimmed,,W1,dim,,307,307,2026-01-14 02:05:17,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,308,,2026-01-14 04:00:13,,,,W1,interaction,308,W1,
,,,,,ON,,W1,turn_on,,308,308,2026-01-14 04:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,309,,2026-01-14 04:05:17,,,,W1,interaction,309,W1,
,,,,,dimmed,,W1,dim,,309,309,2026-01-14 04:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,310,,2026-01-14 06:00:10,,,,W1,interaction,310,W1,
,,,,,ON,,W1,turn_on,,310,310,2026-01-14 06:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,311,,2026-01-14 06:05:18,,,,W1,interaction,311,W1,
,,,,,dimmed,,W1,dim,,311,311,2026-01-14 06:05:21,dim,ON,W1_light,,actuator,,,W1
